date,close,rel_interval_width,forecast_slope,bowley_skewness,moors_kurtosis,tail_asymmetry,m1_pred_proba_dn,m1_pred_proba_up,m1_dn,m1_up,m1_prediction,isTP_DN,isTP_UP
2023-06-12,25905.19,0.1532670922838512,-21.82303292410401,-0.024390061361057293,1.1829263957325111,2.430514634351449e-07,0.48,0.4,0.0,1.0,25663.814,0.0,1.0
2023-06-13,25934.25,0.1447183479602402,-50.95375279017543,-9.582812267916265e-07,1.2999995208593866,-0.09452811369970589,0.52,0.325,1.0,0.0,25476.92,0.0,0.0
2023-06-14,25128.6,0.135911665050782,-7.279436383924398,-0.024392159227393483,1.2682931845595555,-9.812290877549748e-07,0.495,0.4,0.0,1.0,25070.592,0.0,1.0
2023-06-15,25598.49,0.1165443950284959,-10.911411830352776,-0.1111122949640671,1.3750007991007434,-0.06432705890459793,0.44,0.475,0.0,1.0,25663.629,0.0,1.0
2023-06-16,26345.0,0.1068315492774166,-21.817801339282468,-0.11111063746344624,1.125000532853623,-0.11801311575415446,0.545,0.305,1.0,0.0,26065.121,0.0,0.0
2023-06-17,26516.99,0.1199993410639218,-47.24434988838912,-0.09090835064902962,1.4090901952687072,0.05555525224444036,0.5,0.315,0.0,0.0,26151.697,0.0,0.0
2023-06-18,26339.97,0.1081693769724968,-79.90827287946033,0.2500003000699763,1.2500003000699764,-9.104353176594411e-07,0.6,0.285,1.0,0.0,25628.78,0.0,0.0
2023-06-19,26844.35,0.1209001422583726,-10.891113281246604,-0.12499909933494893,1.2812481236144768,-0.05555658790338436,0.5,0.305,0.0,0.0,26530.688,0.0,0.0
2023-06-20,28307.99,0.1789180541079497,-43.58286830356734,-0.06666575615677188,1.4333357376485243,0.037037522642093756,0.485,0.38,0.0,0.0,28067.32,0.0,0.0
2023-06-21,29993.89,0.2510444741792927,-54.51555524552972,0.1935471288670405,1.233871149985528,0.35309971118169786,0.43,0.47,0.0,1.0,29918.139,0.0,0.0
2023-06-22,29884.92,0.2147808146885554,4.56371095504674e-12,0.12280491656975775,1.4736852374069163,0.05918925275303996,0.435,0.415,0.0,1.0,29947.24,0.0,1.0
2023-06-23,30688.5,0.261742978184891,-29.140624999997048,0.19999893940402755,1.6076932096521304,0.36061341312103834,0.45,0.455,0.0,1.0,30495.828,0.0,0.0
